GEO_ID,NAME,EstimateTotal,ErrorMargin,RetirementIncome,RetirementIncomeErr,NoRetirementIncome,NoRetirementIncomeErr
0600000US4101790306,"Bend CCD, Deschutes County, Oregon",42738,668,9296,634,33442,801
0600000US4101792635,"Redmond CCD, Deschutes County, Oregon",15285,547,3286,379,11999,609
0600000US4101792958,"Sisters-Millican CCD, Deschutes County, Oregon",12853,471,3600,347,9253,499
0600000US4101793247,"Tumalo CCD, Deschutes County, Oregon",3521,229,1313,197,2208,221
0600000US4101991054,"Elkton-Drain CCD, Douglas County, Oregon",993,108,251,66,742,97
0600000US4101991547,"Kellogg-Yoncalla CCD, Douglas County, Oregon",1723,108,599,96,1124,119
0600000US4101991853,"Melrose CCD, Douglas County, Oregon",2056,191,719,165,1337,193
0600000US4101992057,"Myrtle Creek-Riddle CCD, Douglas County, Oregon",5592,218,1735,223,3857,285
0600000US4101992244,"North Umpqua CCD, Douglas County, Oregon",2161,171,594,154,1567,191
0600000US4101992652,"Reedsport CCD, Douglas County, Oregon",2577,192,786,134,1791,171
0600000US4101992686,"Roseburg CCD, Douglas County, Oregon",17616,474,4630,432,12986,538
0600000US4101993060,"South Umpqua CCD, Douglas County, Oregon",1870,147,469,93,1401,152
0600000US4101993153,"Sutherlin CCD, Douglas County, Oregon",6866,280,2302,232,4564,332
0600000US4101993179,"Tenmile CCD, Douglas County, Oregon",4002,319,1157,242,2845,258
0600000US4102190102,"Arlington CCD, Gilliam County, Oregon",354,52,44,19,310,51
0600000US4102190612,"Condon CCD, Gilliam County, Oregon",488,62,110,34,378,68
0600000US4102391462,"John Day CCD, Grant County, Oregon",2328,142,671,132,1657,160
0600000US4102391683,"Long Creek CCD, Grant County, Oregon",387,79,129,67,258,51
0600000US4102392584,"Prairie City CCD, Grant County, Oregon",522,84,182,50,340,75
0600000US4102392856,"Seneca CCD, Grant County, Oregon",144,46,53,30,91,37
0600000US4102590391,"Burns CCD, Harney County, Oregon",2464,180,631,130,1833,182
0600000US4102590901,"Diamond CCD, Harney County, Oregon",248,47,45,23,203,46
0600000US4102590918,"Drewsey CCD, Harney County, Oregon",532,76,95,34,437,73
0600000US4102790476,"Cascade Locks CCD, Hood River County, Oregon",546,123,122,50,424,110
0600000US4102790850,"Dee CCD, Hood River County, Oregon",316,84,43,28,273,82
0600000US4102791343,"Hood River CCD, Hood River County, Oregon",5435,246,1060,192,4375,260
0600000US4102792380,"Odell CCD, Hood River County, Oregon",1736,206,343,95,1393,208
0600000US4102792431,"Parkdale CCD, Hood River County, Oregon",567,122,130,54,437,122
0600000US4102990119,"Ashland CCD, Jackson County, Oregon",14499,451,3606,337,10893,445
0600000US4102990408,"Butte Falls-Prospect CCD, Jackson County, Oregon",1107,96,347,81,760,102
0600000US4102990952,"Eagle Point CCD, Jackson County, Oregon",4434,409,931,266,3503,347
0600000US4102991836,"Medford CCD, Jackson County, Oregon",54745,792,11047,520,43698,878
0600000US4102992278,"Northwest Jackson CCD, Jackson County, Oregon",3227,201,1112,182,2115,220
0600000US4102992771,"Sams Valley CCD, Jackson County, Oregon",1878,130,488,106,1390,135
0600000US4102992873,"Shady Cove CCD, Jackson County, Oregon",3174,270,739,184,2435,281
0600000US4102993026,"Southeast Jackson CCD, Jackson County, Oregon",781,93,266,80,515,98
0600000US4102993094,"Southwest Jackson CCD, Jackson County, Oregon",4396,238,1305,177,3091,235
0600000US4103190136,"Ashwood CCD, Jefferson County, Oregon",213,63,59,41,154,48
0600000US4103190782,"Culver CCD, Jefferson County, Oregon",3005,192,1016,117,1989,164
0600000US4103191224,"Grandview CCD, Jefferson County, Oregon",240,48,95,30,145,46
0600000US4103191751,"Madras CCD, Jefferson County, Oregon",3800,213,840,157,2960,239
0600000US4103193383,"Warm Springs CCD, Jefferson County, Oregon",836,98,116,44,720,94
0600000US4103390493,"Cave Junction CCD, Josephine County, Oregon",3291,251,873,169,2418,256
0600000US4103391241,"Grants Pass CCD, Josephine County, Oregon",26567,473,7036,466,19531,599
0600000US4103392295,"Northwest Josephine CCD, Josephine County, Oregon",2946,162,1024,192,1922,255
0600000US4103393485,"Wilderville CCD, Josephine County, Oregon",2170,154,807,132,1363,179
0600000US4103393519,"Williams CCD, Josephine County, Oregon",1393,180,443,121,950,186
0600000US4103590527,"Chiloquin CCD, Klamath County, Oregon",2276,222,662,183,1614,260
0600000US4103590731,"Crescent Lake CCD, Klamath County, Oregon",1344,142,366,95,978,162
0600000US4103591564,"Keno CCD, Klamath County, Oregon",1216,127,398,92,818,133
0600000US4103591581,"Klamath Falls CCD, Klamath County, Oregon",20359,454,4231,308,16128,526
0600000US4103591651,"Langell Valley CCD, Klamath County, Oregon",673,78,211,48,462,84
0600000US4103591785,"Malin CCD, Klamath County, Oregon",593,71,77,31,516,77
0600000US4103591870,"Merrill CCD, Klamath County, Oregon",871,82,193,78,678,104
0600000US4103593594,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",554,63,190,57,364,73
0600000US4103791632,"Lakeview CCD, Lake County, Oregon",2120,167,411,122,1709,180
0600000US4103792924,"Silver Lake-Fort Rock CCD, Lake County, Oregon",954,115,194,68,760,118
0600000US4103793145,"Summer Lake CCD, Lake County, Oregon",268,57,57,21,211,55
0600000US4103793417,"Warner Valley CCD, Lake County, Oregon",173,50,33,28,140,39
0600000US4103990187,"Badger Mountain CCD, Lane County, Oregon",5160,266,1448,204,3712,259
0600000US4103990578,"Coburg CCD, Lane County, Oregon",933,70,296,76,637,82
0600000US4103990697,"Cottage Grove CCD, Lane County, Oregon",7614,259,2039,207,5575,264
0600000US4103990748,"Creswell CCD, Lane County, Oregon",3772,262,954,187,2818,262
0600000US4103990943,"Dunes City CCD, Lane County, Oregon",1149,96,444,80,705,89
0600000US4103991105,"Eugene-Springfield CCD, Lane County, Oregon",110716,763,21385,741,89331,935
0600000US4103991147,"Florence CCD, Lane County, Oregon",6184,278,2480,249,3704,298
0600000US4103991513,"Junction City CCD, Lane County, Oregon",4889,269,1099,159,3790,268
0600000US4103991700,"Lowell CCD, Lane County, Oregon",1956,143,549,129,1407,164
0600000US4103991719,"McKenzie River CCD, Lane County, Oregon",2316,174,699,153,1617,190
0600000US4103991802,"Marcola CCD, Lane County, Oregon",2028,92,642,111,1386,124
0600000US4103991889,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",920,64,277,48,643,70
0600000US4103992346,"Oakridge CCD, Lane County, Oregon",1928,271,553,146,1375,244
0600000US4103992482,"Pleasant Hill CCD, Lane County, Oregon",2126,149,746,180,1380,191
0600000US4103993300,"Upper Siuslaw River CCD, Lane County, Oregon",621,65,154,42,467,62
0600000US4104190884,"Depoe Bay CCD, Lincoln County, Oregon",2308,220,959,162,1349,181
0600000US4104191020,"Eddyville CCD, Lincoln County, Oregon",355,87,86,55,269,90
0600000US4104191674,"Lincoln City CCD, Lincoln County, Oregon",5608,262,1424,197,4184,253
0600000US4104192133,"Newport CCD, Lincoln County, Oregon",5784,268,1516,198,4268,268
0600000US4104192907,"Siletz CCD, Lincoln County, Oregon",1116,109,259,80,857,102
0600000US4104193230,"Toledo CCD, Lincoln County, Oregon",2262,155,565,138,1697,174
0600000US4104193349,"Waldport CCD, Lincoln County, Oregon",3865,243,1202,185,2663,239
0600000US4104390068,"Albany CCD, Linn County, Oregon",22049,509,5063,386,16986,535
0600000US4104390374,"Brownsville CCD, Linn County, Oregon",1719,128,393,88,1326,138
0600000US4104390986,"East Linn CCD, Linn County, Oregon",901,82,256,71,645,91
0600000US4104391292,"Harrisburg CCD, Linn County, Oregon",2655,238,459,141,2196,221
0600000US4104391666,"Lebanon CCD, Linn County, Oregon",10287,361,2206,270,8081,422
0600000US4104391904,"Mill City CCD, Linn County, Oregon",2417,190,673,137,1744,187
0600000US4104392822,"Scio-Lacomb CCD, Linn County, Oregon",2188,192,608,126,1580,196
0600000US4104393162,"Sweet Home CCD, Linn County, Oregon",5546,378,1670,247,3876,396
0600000US4104590017,"Adrian CCD, Malheur County, Oregon",386,56,81,32,305,57
0600000US4104590340,"Brogan CCD, Malheur County, Oregon",284,59,52,21,232,57
0600000US4104590833,"Dead Ox Flat CCD, Malheur County, Oregon",441,61,120,36,321,60
0600000US4104591479,"Jordan Valley CCD, Malheur County, Oregon",212,42,24,13,188,43
0600000US4104591530,"Juntura CCD, Malheur County, Oregon",42,15,8,9,34,14
0600000US4104591768,"Malheur Junction CCD, Malheur County, Oregon",287,69,62,31,225,78
0600000US4104592329,"Nyssa CCD, Malheur County, Oregon",1417,118,227,66,1190,117
0600000US4104592397,"Ontario CCD, Malheur County, Oregon",5240,241,929,156,4311,239
0600000US4104592414,"Owyhee CCD, Malheur County, Oregon",242,50,39,19,203,48
0600000US4104593315,"Vale CCD, Malheur County, Oregon",1447,115,251,67,1196,117
0600000US4104593442,"West Bench CCD, Malheur County, Oregon",64,29,8,14,56,28
0600000US4104790994,"East Marion CCD, Marion County, Oregon",1027,102,318,80,709,103
0600000US4104791360,"Hubbard CCD, Marion County, Oregon",3744,225,855,165,2889,224
0600000US4104791428,"Jefferson CCD, Marion County, Oregon",4545,261,1014,220,3531,264
0600000US4104792006,"Mount Angel CCD, Marion County, Oregon",1783,157,431,128,1352,145
0600000US4104792720,"St. Paul CCD, Marion County, Oregon",481,42,121,27,360,44
0600000US4104792737,"Salem CCD, Marion County, Oregon",85408,838,19327,712,66081,850
0600000US4104792941,"Silverton CCD, Marion County, Oregon",5952,276,1755,271,4197,299
0600000US4104793128,"Stayton CCD, Marion County, Oregon",5435,273,1284,222,4151,288
0600000US4104793570,"Woodburn CCD, Marion County, Oregon",9663,414,2067,267,7596,396
0600000US4104990323,"Boardman CCD, Morrow County, Oregon",2880,117,433,124,2447,140
0600000US4104991309,"Heppner CCD, Morrow County, Oregon",832,96,171,52,661,100
0600000US4104991411,"Ione-Lexington CCD, Morrow County, Oregon",396,70,83,37,313,59
0600000US4105190663,"Corbett CCD, Multnomah County, Oregon",1466,120,402,105,1064,139
0600000US4105191249,"Gresham CCD, Multnomah County, Oregon",52665,802,10011,616,42654,819
0600000US4105192518,"Portland East CCD, Multnomah County, Oregon",201284,1230,29172,820,172112,1339
0600000US4105192520,"Portland West CCD, Multnomah County, Oregon",69744,831,10659,544,59085,855
0600000US4105192975,"Skyline CCD, Multnomah County, Oregon",1070,105,260,66,810,102
0600000US4105390799,"Dallas CCD, Polk County, Oregon",8190,327,2511,284,5679,351
0600000US4105391122,"Falls City CCD, Polk County, Oregon",1223,134,259,65,964,149
0600000US4105391972,"Monmouth-Independence CCD, Polk County, Oregon",7293,284,1270,202,6023,291
0600000US4105392754,"Salem CCD, Polk County, Oregon",12410,374,3306,328,9104,404
0600000US4105393502,"Willamina CCD, Polk County, Oregon",1189,157,214,65,975,145
0600000US4105591989,"Moro CCD, Sherman County, Oregon",373,47,69,24,304,43
0600000US4105593434,"Wasco CCD, Sherman County, Oregon",375,54,111,31,264,53
0600000US4105790238,"Bay City CCD, Tillamook County, Oregon",2157,141,560,101,1597,149
0600000US4105790255,"Beaver CCD, Tillamook County, Oregon",961,112,238,83,723,101
0600000US4105792091,"Nehalem CCD, Tillamook County, Oregon",1604,172,549,119,1055,137
0600000US4105792108,"Neskowin CCD, Tillamook County, Oregon",1056,168,363,138,693,134
0600000US4105793213,"Tillamook CCD, Tillamook County, Oregon",5006,283,1476,212,3530,269
0600000US4105990170,"Athena CCD, Umatilla County, Oregon",807,91,207,64,600,96
0600000US4105991334,"Hermiston-Umatilla CCD, Umatilla County, Oregon",12794,414,2251,221,10543,454
0600000US4105991929,"Milton-Freewater CCD, Umatilla County, Oregon",3961,256,644,165,3317,272
0600000US4105992448,"Pendleton CCD, Umatilla County, Oregon",6656,320,1302,207,5354,316
0600000US4105992465,"Pilot Rock CCD, Umatilla County, Oregon",908,94,252,62,656,99
0600000US4105993264,"Umapine CCD, Umatilla County, Oregon",362,74,87,32,275,89
0600000US4105993270,"Umatilla Reservation CCD, Umatilla County, Oregon",1033,81,217,39,816,76
0600000US4105993451,"Weston CCD, Umatilla County, Oregon",387,72,69,27,318,72
0600000US4106190714,"Cove CCD, Union County, Oregon",935,74,336,51,599,68
0600000US4106191037,"Elgin CCD, Union County, Oregon",1362,86,368,76,994,91
0600000US4106191615,"La Grande CCD, Union County, Oregon",7020,214,1515,175,5505,271
0600000US4106193111,"Starkey CCD, Union County, Oregon",40,19,24,14,16,18
0600000US4106193281,"Union CCD, Union County, Oregon",1351,90,370,89,981,106
0600000US4106391071,"Enterprise CCD, Wallowa County, Oregon",1468,110,369,77,1099,114
0600000US4106391139,"Flora CCD, Wallowa County, Oregon",39,21,17,12,22,18
0600000US4106391394,"Imnaha CCD, Wallowa County, Oregon",96,36,39,25,57,28
0600000US4106391496,"Joseph CCD, Wallowa County, Oregon",822,78,175,48,647,84
0600000US4106393366,"Wallowa CCD, Wallowa County, Oregon",789,71,207,47,582,76
0600000US4106590085,"Antelope CCD, Wasco County, Oregon",94,41,2,3,92,41
0600000US4106590935,"Dufur CCD, Wasco County, Oregon",1470,144,430,73,1040,136
0600000US4106593196,"The Dalles CCD, Wasco County, Oregon",8571,232,2010,202,6561,274
0600000US4106593400,"Warm Springs CCD, Wasco County, Oregon",170,35,28,18,142,33
0600000US4106790289,"Beaverton-Hillsboro CCD, Washington County, Oregon",166816,967,27242,872,139574,1173
0600000US4106790510,"Chehalem Mountains CCD, Washington County, Oregon",2042,102,606,94,1436,134
0600000US4106790561,"Coast Range CCD, Washington County, Oregon",2937,117,609,99,2328,125
0600000US4106791156,"Forest Grove-Cornelius CCD, Washington County, Oregon",13623,442,2490,265,11133,407
0600000US4106792210,"North Plains CCD, Washington County, Oregon",2117,73,501,89,1616,105
0600000US4106792678,"Rockcreek CCD, Washington County, Oregon",31518,465,4192,350,27326,540
0600000US4106991173,"Fossil CCD, Wheeler County, Oregon",260,51,89,35,171,37
0600000US4106991938,"Mitchell CCD, Wheeler County, Oregon",380,48,122,31,258,43
0600000US4107190459,"Carlton CCD, Yamhill County, Oregon",2949,167,747,146,2202,175
0600000US4107190816,"Dayton-Amity CCD, Yamhill County, Oregon",2943,149,683,112,2260,168
0600000US4107191734,"McMinnville CCD, Yamhill County, Oregon",13705,445,3038,311,10667,503
0600000US4107192125,"Newberg CCD, Yamhill County, Oregon",13645,382,2901,260,10744,388
0600000US4107192890,"Sheridan CCD, Yamhill County, Oregon",3566,252,761,128,2805,254
